# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 3.644719077380066,6.22444837791802,2.535494359860103,-110.68728842218759,0.4928269205847214,0.9199653230628868,-4.117287121778159,-128.04973009814552,-116.81923784375294,-17.781013911785077
 3.6617078086467933,6.2211659313241325,2.527636595829649,-112.671899060699,0.509696867773352,0.993008066568855,-3.849249575249147,-128.35180696514277,-112.84939446663252,-17.33966439271118
 3.678564351985898,6.217533801774252,2.519693871007443,-114.57414976931749,0.5265534111124566,1.0,-3.591755721128044,-128.64409376946404,-108.68488748164958,-16.858238490995127
 3.695318806273721,6.213549457663081,2.5116657400232105,-116.395105748406,0.5433078654002796,1.0,-3.3462368081227245,-128.92654435563463,-104.3960484288416,-16.34139209441898
 3.711998521454852,6.209210367385326,2.5035517575066777,-118.13640210223463,0.5599875805814106,0.9999999999999933,-3.1136217941171567,-129.19911412143273,-100.05369181792184,-15.795114311109272
 3.7286268217207823,6.204513999335691,2.4953514780875703,-119.8001249324979,0.5766158808473411,1.0000000000000133,-2.894417610145976,-129.46176002493254,-95.71594580558758,-15.22464651620469
 3.745223631774781,6.199457821908877,2.4870644563956144,-121.38870430417207,0.5932126909013398,0.9999999999999933,-2.6887873900105252,-129.71444059130127,-91.42945035502667,-14.634547697156197
 3.7618059910706654,6.194039303499588,2.4786902470605354,-122.90482030018433,0.6097950501972241,1.0000000000000067,-2.4966228200656566,-129.95711591934827,-87.23069889294884,-14.028760690591447
 3.7783884799738954,6.188255912502529,2.4702284047120595,-124.35132239659764,0.6263775391004541,1.0,-2.317608410081156,-130.18974768782607,-83.14741394975954,-13.410677314848076
 3.794983575689849,6.182105117312405,2.4616784839799126,-125.73116168962792,0.6429726348164078,1.0000000000000067,-2.151276744643932,-130.41229916148174,-79.19987945382692,-12.783200832272614
 3.81160195149128,6.175584386323917,2.4530400394938208,-127.04733504981965,0.6595910106178389,1.0,-1.997054662311926,-130.6247351968576,-75.40217961533352,-12.148804624028594
 3.828252729674296,6.168691187931771,2.4443126258835095,-128.30284001711053,0.6762417888008548,0.9999999999999933,-1.8543008863841326,-130.82702224784111,-71.7633160007127,-11.50958636867465
 3.844943696401266,6.161422990530669,2.4354957977787053,-129.50063913669544,0.6929327555278251,1.0000000000000067,-1.7223359601322998,-131.01912837096185,-67.10297010963434,-10.678702528415332
 3.8619771196088344,6.153777262515316,2.4265891098091332,-130.64363242505766,0.6853267456798605,-0.4465344255983204,-1.600465492567885,-131.20102323043608,-61.20941507346049,-9.630479395491301
 3.879801245020612,6.145751472280415,2.41759211660452,-131.73463671570855,0.6675026202680829,-1.0000000000000062,-1.4879977466216692,-131.37267810295685,-55.372226487635636,-8.578389979889804
 3.898614539782384,6.137343088220671,2.40850437279459,-132.77637073423605,0.648689325506311,-0.9999999999999941,-1.384256555002176,-131.53406588222995,-50.00192650790314,-7.592450476198783
 3.9185152558289125,6.128549578730786,2.3993254330090705,-133.77144487544922,0.6287886094597825,-0.9999999999999944,-1.2885904548533287,-131.68516108325412,-45.05742235381051,-6.670587956382065
 3.939619656822049,6.119368412205466,2.390054851877687,-134.72235478452114,0.6076842084666458,-1.0,-1.20037882065436,-131.8259398463456,-40.49953372728655,-5.810832991164787
 3.9620674013637456,6.109797057039413,2.380692184030166,-135.6314779716891,0.5852364639249495,-0.999999999999995,-1.1190356570395106,-131.95637994090572,-36.29093543763859,-5.011351711977246
 3.9860291655597657,6.09983298162733,2.3712369840962317,-136.5010728090988,0.5612746997289294,-1.0,-1.0440116019339334,-132.07646076893144,-32.395941614450194,-4.270477048213569
 4.011717770860305,6.089473654363923,2.3616888067056117,-137.33327936657173,0.5355860944283894,-1.0000000000000129,-0.9747945884528373,-132.186163368268,-28.78010792358518,-3.5867418700802594
 4.039405028804258,6.078716543643894,2.352047206488031,-138.13012163830683,0.5078988364844366,-1.000000000000008,-0.9109095254227377,-132.2854704156033,-25.40958379209529,-2.958917616293618
 4.069448384222625,6.067559117861947,2.3423117380732155,-138.89351079520551,0.4778554810660697,-1.0000000000000038,-0.8519172810157867,-132.37436622920328,-22.250059537498448,-2.38606351752437
 4.1023354140979365,6.055998845412788,2.3324819560908914,-139.62524916794268,0.4449684511907577,-1.0000000000000102,-0.7974131909966568,-132.4528367713885,-19.26495941103918,-1.8675942328544877
 4.138763497974705,6.044033194691118,2.322557415170784,-140.32703472525057,0.40854036731398924,-0.999999999999997,-0.7470252615729347,-132.52086965075068,-16.41203876972004,-1.4033782506544614
 4.1797962511415445,6.031659634091643,2.3125376699426203,-141.00046586105307,0.3675076141471495,-1.0000000000000053,-0.7004121959188734,-132.5784541241095,-13.636068776267718,-0.9938850240890771
 4.227213178610356,6.018875632009064,2.3024222750361245,-141.6470463451771,0.3200906866783387,-0.9999999999999918,-0.6572613395901662,-132.62558109820907,-10.849711436544412,-0.6403869165501861
 4.284462994303596,6.0056786568380875,2.292210785081024,-142.2681903252441,0.2628408709850978,-1.0000000000000049,-0.6172866150193516,-132.66224313115393,-7.862903352236456,-0.34493622711696004
 4.360393848679089,5.992066176973415,2.281902754707044,-142.86522729465136,0.1869100166096051,-1.0000000000000007,-0.5802264945166689,-132.68843443358398,-3.071957720211453,-0.08408557385078567
 4.547303865288694,5.978035660809751,2.271497738543911,-143.43940696316008,0,-0.9999999999999986,-0.5802264945166689,-132.70415086958906,0.0,0.0
