# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.921199056073326,2.25,0.0,0,3.0,0,180.0,0.0,0.0
 0.08905392272111781,1.9330949578013543,2.25,0.0,0.26716176816335346,3.0000000000000004,0,180.0,0.0,0.0
 0.12539146261005024,1.9447835844165575,2.25,0.0,0.37617438783015067,2.999999999999998,0,180.0,0.0,0.0
 0.15289923041507908,1.9562663180656112,2.25,0.0,0.4586976912452372,3.0,0,180.0,0.0,0.0
 0.1757753961202877,1.9675445408951922,2.25,0.0,0.5273261883608631,3.000000000000002,0,180.0,0.0,0.0
 0.19565374002499292,1.9786196350519774,2.25,0.0,0.5869612200749788,3.0,0,180.0,0.0,0.0
 0.2133759227424953,1.989492982682643,2.25,0.0,0.640127768227486,3.0000000000000018,0,180.0,0.0,0.0
 0.2294441251670934,2.0001659659338653,2.25,0.0,0.6883323755012802,3.0000000000000018,0,180.0,0.0,1.9278313799198973e-12
 0.2441869650889049,2.010639966952321,2.25,0.0,0.7325608952667148,3.0000000000000018,0,180.00000000000003,0.0,-2.082677350284871e-12
 0.25783368258286354,2.0209163678846873,2.25,0.0,0.7735010477485906,2.999999999999994,0,180.0,0.0,0.0
 0.27055189866186913,2.0309965508776395,2.25,0.0,0.8116556959856074,3.0,0,180.0,0.0,0.0
 0.2824686908957385,2.0408818980778545,2.25,0.0,0.8474060726872155,2.9999999999999956,0,180.0,0.0,0.0
 0.29368320296841716,2.050573791632009,2.25,0.0,0.8810496089052514,3.0,0,180.0,0.0,0.0
 0.3042746101944237,2.0600736136867788,2.25,0.0,0.912823830583271,2.9999999999999947,0,180.0,0.0,2.832888633991587e-12
 0.3143073764279333,2.069382746388842,2.25,0.0,0.9429221292837999,3.0000000000000053,0,180.00000000000003,0.0,-2.983131579080759e-12
 0.3238348507202882,2.078502571884873,2.25,0.0,0.9715045521608646,3.0,0,180.0,0.0,0.0
 0.33290180358800886,2.08743447232155,2.25,0.0,0.9987054107640265,3.0,0,180.0,0.0,0.0
 0.34154626213952577,2.0961798298455485,2.25,0.0,1.024638786418577,2.999999999999981,0,180.0,0.0,0.0
 0.3498008676663716,2.1047400266035456,2.25,0.0,1.0494026029991146,3.0000000000000067,0,180.0,0.0,-3.6008608389568175e-12
 0.3576938995555567,2.113116444742217,2.25,0.0,1.07308169866667,3.000000000000014,0,179.99999999999997,0.0,3.761395321897828e-12
 0.3652500607665149,2.1213104664082403,2.25,0.0,1.0957501822995446,2.9999999999999925,0,180.0,0.0,0.0
 0.372491089535455,2.1293234737482916,2.25,0.0,1.1174732686063649,2.9999999999999925,0,180.0,0.0,0.0
 0.37943624219423233,2.1371568489090462,2.25,0.0,1.1383087265826968,2.999999999999992,0,180.0,0.0,0.0
 0.386102678885515,2.1448119740371827,2.25,0.0,1.1583080366565448,2.9999999999999916,0,180.0,0.0,4.438744721254923e-12
 0.3925057750794247,2.152290231279376,2.25,0.0,1.1775173252382738,3.0,0,180.00000000000003,0.0,-4.618712091071307e-12
 0.3986593756654728,2.159593002782303,2.25,0.0,1.1959781269964183,3.000000000000009,0,180.0,0.0,-4.8037002539393014e-12
 0.40457600408272193,2.16672167069264,2.25,0.0,1.2137280122481655,2.9999999999999907,0,179.99999999999997,0.0,0.0
 0.410267035871141,2.173677617157064,2.25,0.0,1.2308011076134227,2.9999999999999902,0,179.99999999999997,0.0,1.0380827753867062e-11
 0.41574284379403353,2.1804622243222513,2.25,0.0,1.2472285313821003,3.00000000000001,0,180.00000000000003,0.0,-5.393035717352067e-12
 0.4210129200405077,2.1870768743348785,2.25,0.0,1.263038760121523,3.0000000000000107,0,180.0,0.0,0.0
 0.426085979796172,2.193522949341622,2.25,0.0,1.2782579393885158,3.0,0,180.0,0.0,0.0
 0.43097004955165297,2.1998018314891574,2.25,0.0,1.2929101486549588,3.0000000000000226,0,180.0,0.0,0.0
 0.43567254281997686,2.205914902924163,2.25,0.0,1.3070176284599304,2.999999999999988,0,180.0,0.0,0.0
 0.440200325397417,2.211863545793314,2.25,0.0,1.3206009761922508,3.0,0,180.0,0.0,0.0
 0.4445597718867217,2.217649142243287,2.25,0.0,1.333679315660165,3.000000000000013,0,180.0,0.0,0.0
 0.4487568148767085,2.2232730744207587,2.25,0.0,1.3462704446301252,2.9999999999999734,0,180.0,0.0,0.0
 0.45279698791627726,2.228736724472406,2.25,0.0,1.3583909637488316,3.0000000000000138,0,180.0,0.0,0.0
 0.4566854632177224,2.2340414745449046,2.25,0.0,1.370056389653167,2.999999999999986,0,180.0,0.0,0.0
 0.46042708486187456,2.239188706784932,2.25,0.0,1.3812812545856235,3.0,0,180.0,0.0,0.0
 0.46402639814694235,2.244179803339163,2.25,0.0,1.3920791944408268,3.0,0,180.0,0.0,0.0
 0.4674876756171934,2.2490161463542755,2.25,0.0,1.40246302685158,3.000000000000032,0,180.0,0.0,0.0
 0.4708149402214703,2.253699117976946,2.25,0.0,1.4124448206644107,2.9999999999999667,0,180.0,0.0,0.0
 0.47401198598103306,2.2582301003538507,2.25,0.0,1.422035957943099,3.0000000000000173,0,180.0,0.0,0.0
 0.4770823964881674,2.2626104756316656,2.25,0.0,1.431247189464502,2.999999999999982,0,180.0,0.0,0.0
 0.48002956150897075,2.2668416259570683,2.25,0.0,1.440088684526912,3.0000000000000187,0,180.0,0.0,0.0
